fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
3,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.5,0.5,0.5555555555555556,0.45454545454545453,0.502518907629606,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.65,0.6632900432900433,0.76,0.5563636363636364,0.649354795345166,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
MEAN,TEST,0.5840000000000001,0.5745515878424424,0.6272727272727272,0.5428571428571429,0.5535974405406578,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
1,VALIDATION,0.75,0.782608695652174,1.0,0.5454545454545454,0.7385489458759964,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
1,TEST,0.68,0.7333333333333333,0.9166666666666666,0.46153846153846156,0.6504436355879909,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
2,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
3,TEST,0.8,0.8148148148148148,0.9166666666666666,0.6923076923076923,0.7966275068156915,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.55,0.4,0.3333333333333333,0.7272727272727273,0.49236596391733095,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
4,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.6699999999999999,0.6611067193675888,0.76,0.5927272727272727,0.6525806859332108,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
MEAN,TEST,0.64,0.6245946645946645,0.6772727272727272,0.6043956043956044,0.6241059975889913,4,0.001,0.0,0.3,8,resize_small_hu_m600_1500_separadas
1,VALIDATION,0.85,0.8571428571428571,1.0,0.7272727272727273,0.8528028654224418,4,0.001,0.0,0.5,8,resize_small_hu_m600_1500_separadas
1,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,4,0.001,0.0,0.5,8,resize_small_hu_m600_1500_separadas
