fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
4,TEST,0.64,0.5263157894736842,0.4166666666666667,0.8461538461538461,0.5937710859953544,0.6730769230769231,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,0.6400000000000001,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.84,0.8181818181818182,0.8181818181818182,0.8571428571428571,0.8374357893586238,0.8896103896103896,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.69,0.6877192982456141,0.7377777777777779,0.649090909090909,0.6908710346755216,0.6492121212121212,8,0.001,8
MEAN,TEST,0.608,0.5398449100808448,0.5303030303030304,0.6791208791208792,0.5756013078904056,0.6356143856143855,8,0.001,8
1,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,0.6565656565656566,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,0.5256410256410257,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,0.6868686868686869,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,0.4935897435897436,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,0.8080808080808081,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.44,0.3,0.25,0.6153846153846154,0.3922322702763681,0.4358974358974359,8,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
